1.000 personer,Antal berettigede
"Funktionærer og
Servicefag",0.0
Magistre (MA),0.0
"Journalistik,
Kommunikation og Sprog",0.1
Økonomer (CA),0.1
Lærere (DLF-A),0.1
Byggefagenes a-kasse,0.1
Akademikernes akasse,0.2
Selvstændige (DANA),0.2
El-faget,0.3
"Børne- og
Ungdomspædagoger
(BUPL-A)",0.3
Socialpædagoger (SLA),0.3
Teknikere,0.3
Fødevareforbundet (NNF),0.4
Frie Funktionærer (FFA),0.5
Det Faglige Hus a-kasse,1.0
Metalarbejdere,1.4
"Danske
Sundhedsorganisationer
(DSA)",1.4
Min a-kasse,1.7
"Selvstændige
Erhvervsdrivende (ASE)",1.8
Kristelig a-kasse,1.8
Ledere,2.5
"Funktionærer og
Tjenestemænd (FTF-A)",3.2
Fag og Arbejde (FOA),4.0
"Handels- og
Kontorfunktionærer (HK)",4.5
Ikke-forsikrede,5.3
"Faglig Fælles a-kasse
(3F)",6.6
